Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,1965,5.7474947
Africa,,1966,6.122062
Africa,,1967,6.325731
Africa,,1968,7.005293
Africa,,1969,7.9560876
Africa,,1970,9.16206
Africa,,1971,8.131308
Africa,,1972,8.7477665
Africa,,1973,8.542279
Africa,,1974,9.268067
Africa,,1975,9.238402
Africa,,1976,9.416414
Africa,,1977,9.803299
Africa,,1978,9.519681
Africa,,1979,9.350928
Africa,,1980,8.486036
Africa,,1981,7.859502
Africa,,1982,7.378185
Africa,,1983,6.456583
Africa,,1984,6.1593933
Africa,,1985,6.580027
Africa,,1986,6.7038097
Africa,,1987,6.2346725
Africa,,1988,6.3508363
Africa,,1989,6.648682
Africa,,1990,6.568428
Africa,,1991,6.9617434
Africa,,1992,6.5524845
Africa,,1993,6.4210205
Africa,,1994,6.2905235
Africa,,1995,6.2837534
Africa,,1996,6.4112005
Africa,,1997,6.44885
Africa,,1998,6.657183
Africa,,1999,6.8363028
Africa,,2000,7.1749406
Africa,,2001,7.4141307
Africa,,2002,7.6051617
Africa,,2003,7.0411763
Africa,,2004,6.9333735
Africa,,2005,6.998331
Africa,,2006,7.123233
Africa,,2007,7.0094085
Africa,,2008,6.716138
Africa,,2009,6.7757106
Africa,,2010,7.1018925
Africa,,2011,7.2255993
Africa,,2012,6.989345
Africa,,2013,7.1956143
Africa,,2014,7.509692
Africa,,2015,7.464454
Africa,,2016,7.307821
Africa,,2017,7.7397423
Africa,,2018,8.169643
Africa,,2019,8.5593
Africa,,2020,9.624269
Africa,,2021,9.555876
Africa (BP),,1965,5.7474957
Africa (BP),,1966,6.122062
Africa (BP),,1967,6.325731
Africa (BP),,1968,7.005293
Africa (BP),,1969,7.9560876
Africa (BP),,1970,9.162059
Africa (BP),,1971,8.131308
Africa (BP),,1972,8.7477665
Africa (BP),,1973,8.54228
Africa (BP),,1974,9.268067
Africa (BP),,1975,9.238402
Africa (BP),,1976,9.416413
Africa (BP),,1977,9.803299
Africa (BP),,1978,9.519681
Africa (BP),,1979,9.350928
Africa (BP),,1980,8.486035
Africa (BP),,1981,7.859502
Africa (BP),,1982,7.378185
Africa (BP),,1983,6.456583
Africa (BP),,1984,6.1593933
Africa (BP),,1985,6.580027
Africa (BP),,1986,6.70381
Africa (BP),,1987,6.2346725
Africa (BP),,1988,6.3508363
Africa (BP),,1989,6.648681
Africa (BP),,1990,6.568428
Africa (BP),,1991,6.9617443
Africa (BP),,1992,6.552484
Africa (BP),,1993,6.4210205
Africa (BP),,1994,6.2905235
Africa (BP),,1995,6.2837534
Africa (BP),,1996,6.4112005
Africa (BP),,1997,6.44885
Africa (BP),,1998,6.657183
