Entity,Code,Year,Solar Capacity
Africa,,1996,0.0011124251999999999
Africa,,1997,0.0031372757
Africa,,1998,0.0051621259999999995
Africa,,1999,0.008199402
Africa,,2000,0.010927
Africa,,2001,0.013028999000000001
Africa,,2002,0.015243000000000001
Africa,,2003,0.018019001
Africa,,2004,0.021995999999999998
Africa,,2005,0.025965000000000002
Africa,,2006,0.034268
Africa,,2007,0.046656002
Africa,,2008,0.063372997
Africa,,2009,0.106845
Africa,,2010,0.19384200000000001
Africa,,2011,0.26638799999999996
Africa,,2012,0.34595400000000004
Africa,,2013,0.6669729999999999
Africa,,2014,1.5731199999999999
Africa,,2015,1.930761
Africa,,2016,2.988417
Africa,,2017,4.711063
Africa,,2018,7.210268
Africa,,2019,8.415319
Africa,,2020,9.703859000000001
Africa,,2021,10.30226
Africa (BP),,1996,0.0010124252
Africa (BP),,1997,0.0030372756
Africa (BP),,1998,0.005062126
Africa (BP),,1999,0.008099401
Africa (BP),,2000,0.010927
Africa (BP),,2001,0.013029
Africa (BP),,2002,0.015243000000000001
Africa (BP),,2003,0.018019
Africa (BP),,2004,0.021995999999999998
Africa (BP),,2005,0.025965000000000002
Africa (BP),,2006,0.034268
Africa (BP),,2007,0.046656
Africa (BP),,2008,0.063373
Africa (BP),,2009,0.106845
Africa (BP),,2010,0.19384200000000001
Africa (BP),,2011,0.26638799999999996
Africa (BP),,2012,0.34595400000000004
Africa (BP),,2013,0.6669729999999999
Africa (BP),,2014,1.5731199999999999
Africa (BP),,2015,1.930761
Africa (BP),,2016,2.988417
Africa (BP),,2017,4.711063
Africa (BP),,2018,7.210268
Africa (BP),,2019,8.415319
Africa (BP),,2020,9.703859000000001
Africa (BP),,2021,10.30226
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0011
Algeria,DZA,2015,0.049100000000000005
Algeria,DZA,2016,0.2191
Algeria,DZA,2017,0.4
Algeria,DZA,2018,0.423
Algeria,DZA,2019,0.423
Algeria,DZA,2020,0.423
Algeria,DZA,2021,0.423
Argentina,ARG,1996,0
Argentina,ARG,1997,0
