Entity,Code,Year,Biofuels Production - TWh - Total
Africa (BP),,1990,0.068616726
Africa (BP),,1991,0.068616726
Africa (BP),,1992,0.06880471
Africa (BP),,1993,0.068616726
Africa (BP),,1994,0.068616726
Africa (BP),,1995,0.068616726
Africa (BP),,1996,0.06880471
Africa (BP),,1997,0.102925085
Africa (BP),,1998,0.102925085
Africa (BP),,1999,0.068616726
Africa (BP),,2000,0.06880471
Africa (BP),,2001,0.068616726
Africa (BP),,2002,0.32069764
Africa (BP),,2003,0.33128294
Africa (BP),,2004,0.36543164
Africa (BP),,2005,0.41999254
Africa (BP),,2006,0.44839332
Africa (BP),,2007,0.45416325
Africa (BP),,2008,0.5273259
Africa (BP),,2009,3.180501
Africa (BP),,2010,1.1110405
Africa (BP),,2011,1.2481376
Africa (BP),,2012,1.2687395
Africa (BP),,2013,1.2936754
Africa (BP),,2014,1.5134399
Africa (BP),,2015,1.7531116
Africa (BP),,2016,1.7627658
Africa (BP),,2017,1.2300222
Africa (BP),,2018,1.4472462
Africa (BP),,2019,1.4500226
Africa (BP),,2020,1.4330739
Africa (BP),,2021,1.4358858
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.053206034
Argentina,ARG,2001,0.106121324
Argentina,ARG,2002,0.106121324
Argentina,ARG,2003,0.106121324
Argentina,ARG,2004,0.10641207
Argentina,ARG,2005,0.106121324
Argentina,ARG,2006,0.35267234
Argentina,ARG,2007,2.007858
Argentina,ARG,2008,7.1122904
Argentina,ARG,2009,11.965088
Argentina,ARG,2010,19.893944
Argentina,ARG,2011,25.844816
Argentina,ARG,2012,26.502537
Argentina,ARG,2013,23.838686
Argentina,ARG,2014,30.584423
Argentina,ARG,2015,23.461845
Argentina,ARG,2016,32.768284
Argentina,ARG,2017,36.23187
Argentina,ARG,2018,31.703428
Argentina,ARG,2019,28.55003
Argentina,ARG,2020,16.743961
Argentina,ARG,2021,23.779903
Asia Pacific (BP),,2000,0.9976683
Asia Pacific (BP),,2001,1.0823115
Asia Pacific (BP),,2002,2.8769584
Asia Pacific (BP),,2003,6.5407166
Asia Pacific (BP),,2004,6.5983725
Asia Pacific (BP),,2005,10.475127
Asia Pacific (BP),,2006,17.087872
Asia Pacific (BP),,2007,23.5589
Asia Pacific (BP),,2008,38.093407
Asia Pacific (BP),,2009,39.615303
Asia Pacific (BP),,2010,42.821674
Asia Pacific (BP),,2011,68.813034
Asia Pacific (BP),,2012,81.81848
Asia Pacific (BP),,2013,98.085884
Asia Pacific (BP),,2014,118.49936
Asia Pacific (BP),,2015,98.61999
Asia Pacific (BP),,2016,112.54859
Asia Pacific (BP),,2017,115.80142
Asia Pacific (BP),,2018,152.95209
Asia Pacific (BP),,2019,193.86732
Asia Pacific (BP),,2020,192.5514
Asia Pacific (BP),,2021,209.64064
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0.5353231
Australia,AUS,2004,0.32180902
Australia,AUS,2005,0.32005984
Australia,AUS,2006,0.59205866
Australia,AUS,2007,1.1593292
Australia,AUS,2008,1.8793633
Australia,AUS,2009,2.6951258
Australia,AUS,2010,2.1017818
Australia,AUS,2011,2.5427175
Australia,AUS,2012,2.6933994
Australia,AUS,2013,2.845892
Australia,AUS,2014,2.989948
Australia,AUS,2015,2.6403356
Australia,AUS,2016,1.4622647
Australia,AUS,2017,1.2355341
Australia,AUS,2018,1.5035335
Australia,AUS,2019,1.7374654
Australia,AUS,2020,1.4563833
Australia,AUS,2021,1.3404936
Austria,AUT,1990,0.073269
Austria,AUT,1991,0.080247
Austria,AUT,1992,0.089551
Austria,AUT,1993,0.101181
Austria,AUT,1994,0.067454
Austria,AUT,1995,0.130256
Austria,AUT,1996,0.141886
Austria,AUT,1997,0.153516
Austria,AUT,1998,0.165146
Austria,AUT,1999,0.181428
Austria,AUT,2000,0.21282414
Austria,AUT,2001,0.21224265
Austria,AUT,2002,0.2653033
Austria,AUT,2003,0.31836396
Austria,AUT,2004,0.5852664
Austria,AUT,2005,0.8489706
Austria,AUT,2006,1.2734559
Austria,AUT,2007,2.5759044
Austria,AUT,2008,3.095625
Austria,AUT,2009,4.2849255
Austria,AUT,2010,4.487388
Austria,AUT,2011,4.459111
Austria,AUT,2012,4.459111
Austria,AUT,2013,4.2805
Austria,AUT,2014,3.7563334
Austria,AUT,2015,4.356
Austria,AUT,2016,4.8046665
Austria,AUT,2017,4.4729443
Austria,AUT,2018,4.412322
Austria,AUT,2019,4.4228
Austria,AUT,2020,4.5772223
Austria,AUT,2021,4.82245
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0
Belgium,BEL,2005,0
Belgium,BEL,2006,0
Belgium,BEL,2007,0
